qid,year,subject,auto_tier,auto_best,expert_tier,expert_link,link_src,advantage,transform,weight,text_snippet
2021_P_65,2021,Science & Technology,3,2010_P_20,,2010_P_20,auto,,,0.00,"With reference to recent developments regarding 'Recombinant Vector Vaccines', consider the following statements : 1. Genetic engineering is applied i"
2021_P_66,2021,Science & Technology,0,,3,2020_P_37,expert,conceptual,expert-verified-strong,3.86,"In the context of hereditary diseases, consider the following statements : 1. Passing on mitochondrial diseases from parent to child can be prevented "
2021_P_67,2021,Environment,2,2019_P_99,2,2019_P_99,expert,elimination,mechanism-transfer,1.00,Bollgard I and Bollgard II technologies are mentioned in the context of
2021_P_68,2021,Science & Technology,0,,,,auto,,,0.00,"In a pressure cooker, the temperature at which the food is cooked depends mainly upon which of the following? 1. Area of the hole in the lid 2. Temper"
2021_P_69,2021,Science & Technology,0,,,,auto,,,0.00,Consider the following : 1. Bacteria 2. Fungi 3. Virus Which of the above can be cultured in artificial/synthetic medium?
2021_P_7,2021,Economy,3,2020_P_51,,2020_P_51,auto,,,0.00,Consider the following : 1. Foreign currency convertible bonds 2. Foreign institutional investment with certain conditions 3. Global depository receip
2021_P_70,2021,Science & Technology,3,2015_P_92,,2015_P_92,auto,,,0.00,Consider the following statements : 1. Adenoviruses have single-stranded DNA genomes whereas retroviruses have double-stranded DNA genomes. 2. Common 
2021_P_71,2021,Science & Technology,0,,,,auto,,,0.00,Water can dissolve more substances than any other liquid because
2021_P_72,2021,Science & Technology,1,2020_P_39,,2020_P_39,auto,,,0.00,"With reference to street-lighting, how do sodium lamps differ from LED lamps? 1. Sodium lamps produce light in 360 degrees but it is not so in the cas"
2021_P_73,2021,Science & Technology,2,2019_P_99,1,2019_P_99,expert,pattern,weak-association,1.00,The term 'ACE2' is talked about in the context of
2021_P_74,2021,Science & Technology,3,2012_P_17,,2012_P_17,auto,,,0.00,"Bisphenol A (BPA), a cause of concern, is a structural/key component in the manufacture of which of the following kinds of plastics?"
2021_P_75,2021,Science & Technology,0,,,,auto,,,0.00,"'Triclosan', considered harmful when exposed to high levels for a long time, is most likely present in which of the following?"
2021_P_76,2021,Science & Technology,0,,,,auto,,,0.00,Which one of the following is a reason why astronomical distances are measured in light-years?
2021_P_77,2021,Polity,3,2003_P_9,,2003_P_9,auto,,,0.00,"We adopted parliamentary democracy based on the British model, but how does our model differ from that model? 1. As regards legislation, the British P"
2021_P_78,2021,Polity,3,2009_P_18,1,2009_P_18,expert,pattern,weak-association,7.05,"With reference to the Union Government, consider the following statements : 1. N. Gopalaswamy Iyengar Committee suggested that a minister and a secret"
2021_P_79,2021,Polity,4,2019_P_56,5,2018_P_92,expert,answerability,angle-shift,1.00,'Right to Privacy' is protected under which Article of the Constitution of India?
2021_P_8,2021,Economy,3,2014_P_30,,2014_P_30,auto,,,0.00,Consider the following statements : The effect of devaluation of a currency is that it necessarily 1. improves the competitiveness of the domestic exp
2021_P_80,2021,Polity,3,2017_P_57,,2017_P_57,auto,,,0.00,"Consider the following statements : 1. In India, there is no law restricting the candidates from contesting in one Lok Sabha election from three const"
2021_P_81,2021,Polity,1,2011_P_45,,2011_P_45,auto,,,0.00,Consider the following statements : 1. 'Right to the City' is an agreed human right and the UN-Habitat monitors the commitments made by each country i
2021_P_82,2021,Polity,1,2004_P_7,,2004_P_7,auto,,,0.00,"With reference to India, consider the following statements : 1. Judicial custody means an accused is in the custody of the concerned magistrate and su"
2021_P_83,2021,Polity,1,2019_P_53,,2019_P_53,auto,,,0.00,"With reference to India, consider the following statements : 1. When a prisoner makes out a sufficient case, parole cannot be denied to such prisoner "
2021_P_84,2021,Polity,5,2013_P_23,3,2013_P_23,expert,conceptual,paraphrase-repeat,1.00,"At the national level, which ministry is the nodal agency to ensure effective implementation of the Scheduled Tribes and Other Traditional Forest Dwel"
2021_P_85,2021,Polity,3,2019_P_52,,2019_P_52,auto,,,0.00,A legislation which confers on the executive or administrative authority an unguided and uncontrolled discretionary power in the matter of application
2021_P_86,2021,Polity,0,,,,auto,,,0.00,Which one of the following in Indian polity is an essential feature that indicates that it is federal in character?
2021_P_87,2021,Polity,0,,0,,expert,none,spurious,3.86,Which one of the following best defines the term 'State'?
2021_P_88,2021,Polity,4,2012_P_60,2,2012_P_60,expert,conceptual,entity-bridge,1.00,"With reference to Indian judiciary, consider the following statements : 1. Any retired judge of the Supreme Court of India can be called back to sit a"
2021_P_89,2021,Polity,3,2018_P_12,,2018_P_12,auto,,,0.00,"With reference to India, consider the following statements : 1. There is only one citizenship and one domicile. 2. A citizen by birth only can become "
2021_P_9,2021,Economy,0,,,,auto,,,0.00,Which one of the following effects of creation of black money in India has been the main cause of worry to the Government of India?
2021_P_90,2021,Polity,1,2020_P_13,,2020_P_13,auto,,,0.00,Which one of the following factors constitutes the best safeguard of liberty in a liberal democracy?
2021_P_91,2021,Polity,4,2020_P_8,2,2020_P_8,expert,elimination,angle-shift,1.00,"Under the Indian Constitution, concentration of wealth violates"
2021_P_92,2021,Polity,1,2002_P_17,,2002_P_17,auto,,,0.00,What is the position of the Right to Property in India?
2021_P_93,2021,Polity,0,,2,2017_P_38,expert,conceptual,expert-verified-weak,3.86,"What was the exact constitutional status of India on 26th January, 1950?"
2021_P_94,2021,Polity,0,,,,auto,,,0.00,Constitutional government means
2021_P_95,2021,Art & Culture,0,,,,auto,,,0.00,"With reference to India, the terms 'Halbi, Ho and Kui' pertain to"
2021_P_96,2021,Polity,1,2006_P_53,,2006_P_53,auto,,,0.00,Consider the following statements in respect of Bharat Ratna and Padma Awards : 1. Bharat Ratna and Padma Awards are titles under the Article 18(1) of
2021_P_97,2021,Geography,1,2001_P_72,,2001_P_72,auto,,,0.00,Consider the following statements: Statement 1: The United Nations Capital Development Fund (UNCDF) and the Arbor Day Foundation have recently recogni
2021_P_98,2021,Art & Culture,3,2001_P_45,,2001_P_45,auto,,,0.00,Consider the following statements in respect of the Laureus World Sports Award which was instituted in the year 2000 : 1. American golfer Tiger Woods 
2021_P_99,2021,Art & Culture,1,2008_P_38,,2008_P_38,auto,,,0.00,Consider the following statements in respect of the 32nd Summer Olympics : 1. The official motto for this Olympics is 'A New World'. 2. Sport Climbing
2022_P_1,2022,Economy,1,2017_P_56,,2017_P_56,auto,,,0.00,"""Rapid Financing Instrument"" and ""Rapid Credit Facility"" are related to the provisions of lending by which one of the following?"
2022_P_10,2022,Economy,3,2015_P_86,,2015_P_86,auto,,,0.00,"With reference to the Indian economy, consider the following statements: 1. A share of the household financial savings goes towards government borrowi"
2022_P_100,2022,Environment,5,2010_P_37,4,2010_P_37,expert,answerability,paraphrase-repeat,1.00,Excess of which of the above in the environment is/are cause(s) of acid rain? 1. Carbon monoxide 2. Nitrogen oxide 3. Ozone 4. Sulphur dioxide
2022_P_11,2022,Polity,3,2021_P_88,,2021_P_88,auto,,,0.00,"Consider the following statements: 1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was passed. 2. The Constitutio"
2022_P_12,2022,Polity,1,2019_P_62,,2019_P_62,auto,,,0.00,"With reference to India, consider the following statements: 1. Government law officers and legal firms are recognised as advocates, but corporate lawy"
2022_P_13,2022,Polity,4,2012_P_57,3,2012_P_57,expert,conceptual,entity-bridge,1.00,Consider the following statements: 1. A bill amending the Constitution requires a prior recommendation of the President of India. 2. When a Constituti
2022_P_14,2022,Polity,3,2011_P_32,,2007_P_7,expert,,,0.00,"Consider the following statements: 1. The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister, Minister of State with"
2022_P_15,2022,Polity,3,2011_P_32,,2011_P_32,auto,,,0.00,Which of the following is/are the exclusive power(s) of Lok Sabha ? 1. To ratify the declaration of Emergency 2. To pass a motion of no-confidence aga
2022_P_16,2022,Polity,3,2014_P_49,,2014_P_49,auto,,,0.00,"With reference to anti-defection law in India, consider the following statements: 1. The law specifies that a nominated legislator cannot join any pol"
2022_P_17,2022,Polity,3,2008_P_44,,2008_P_44,auto,,,0.00,Consider the following statements: 1. Attorney General of India and Solicitor General of India are the only officers of the Government who are allowed
2022_P_18,2022,Polity,3,2002_P_17,,2002_P_17,auto,,,0.00,"With reference to the writs issued by the Courts in India, consider the following statements: 1. Mandamus will not lie against a private organisation "
2022_P_19,2022,Polity,3,2020_P_8,,2020_P_8,auto,,,0.00,"With reference to Ayushman Bharat Digital Mission, consider the following statements: 1. Private and public hospitals must adopt it. 2. As it aims to "
2022_P_2,2022,Economy,3,2019_P_82,,2019_P_82,auto,,,0.00,"With reference to the Indian economy, consider the following statements: 1. An increase in Nominal Effective Exchange Rate (NEER) indicates the apprec"
2022_P_20,2022,Polity,4,2017_P_76,2,2017_P_76,expert,conceptual,entity-bridge,1.00,"With reference to Deputy Speaker of Lok Sabha, consider the following statements: 1. As per the Rules of Procedure and Conduct of Business in Lok Sabh"
2022_P_21,2022,Geography,3,2013_P_61,,2013_P_61,auto,,,0.00,"Among the following crops, which one is the most important anthropogenic source of both methane and nitrous oxide?"
2022_P_22,2022,Environment,3,2008_P_19,,2008_P_19,auto,,,0.00,"""System of Rice Intensification"" of cultivation, in which alternate wetting and drying of rice fields is practised, results in : 1. Reduced seed requi"
2022_P_23,2022,Geography,3,2009_P_83,,2009_P_83,auto,,,0.00,Which one of the following lakes of West Africa has become dry and turned into a desert?
2022_P_24,2022,Geography,4,2015_P_36,2,2015_P_36,expert,elimination,angle-shift,1.00,Gandikota canyon of South India was created by which one of the following rivers ?
2022_P_25,2022,Geography,4,2003_P_13,4,2003_P_13,auto,answerability,same-fact-new-frame,1.00,Consider the following pairs: Peak Mountains 1. Namcha Barwa: Garhwal Himalaya 2. Nanda Devi: Kumaon Himalaya 3. Nokrek: Sikkim Himalaya Which of the 
2022_P_26,2022,Geography,4,2009_P_42,2,2009_P_42,expert,elimination,mechanism-transfer,1.00,"The term ""Levant"" often heard in the news roughly corresponds to which of the following regions?"
2022_P_27,2022,Geography,0,,,,auto,,,0.00,Consider the following countries: 1. Azerbaijan 2. Kyrgyzstan 3. Tajikistan 4. Turkmenistan 5. Uzbekistan Which of the above have borders with Afghani
2022_P_28,2022,Geography,3,2021_P_56,,2021_P_56,auto,,,0.00,"With reference to India, consider the following statements: 1. Monazite is a source of rare earths. 2. Monazite contains thorium. 3. Monazite occurs n"
2022_P_29,2022,Geography,1,2020_P_99,,2020_P_99,auto,,,0.00,"In the northern hemisphere, the longest day of the year normally occurs in the :"
2022_P_3,2022,Economy,3,2018_P_56,,2018_P_56,auto,,,0.00,"With reference to the Indian economy, consider the following statements: 1. If the inflation is too high, Reserve Bank of India (RBI) is likely to buy"
2022_P_30,2022,Geography,1,2013_P_70,,2013_P_70,auto,,,0.00,Consider the following pairs: Wetland/Lake Location 1. Hokera Wetland - Punjab 2. Renuka Wetland - Himachal Pradesh 3. Rudrasagar Lake - Tripura 4. Sa
2022_P_31,2022,Science & Technology,3,2016_P_84,,2016_P_84,auto,,,0.00,Consider the following : 1. Aarogya Setu 2. CoWIN 3. DigiLocker 4. DIKSHA Which of the above are built on top of open-source digital platforms?
2022_P_32,2022,Science & Technology,3,2020_P_40,,2020_P_40,auto,,,0.00,"With reference to Web 3.0, consider the following statements: 1. Web 3.0 technology enables people to control their own data. 2. In Web 3.0 world, the"
2022_P_33,2022,Science & Technology,0,,,,auto,,,0.00,"With reference to ""Software as a Service (SaaS)"", consider the following statements: 1. SaaS buyers can customise the user interface and can change da"
2022_P_34,2022,Science & Technology,2,2011_P_85,1,2011_P_85,expert,pattern,weak-association,1.00,"Which one of the following statements best reflects the idea behind the ""Fractional Orbital Bombardment System"" often talked about in media?"
2022_P_35,2022,Science & Technology,3,2020_P_38,,2020_P_38,auto,,,0.00,"Which one of the following is the context in which the term ""qubit"" is mentioned ?"
2022_P_36,2022,Science & Technology,1,2010_P_12,,2010_P_12,auto,,,0.00,Consider the following communication technologies: 1. Closed-circuit Television 2. Radio Frequency Identification 3. Wireless Local Area Network Which
2022_P_37,2022,Science & Technology,3,2019_P_98,,2019_P_98,auto,,,0.00,Consider the following statements: 1. Biofilms can form on medical implants within human tissues. 2. Biofilms can form on food and food processing sur
2022_P_38,2022,Science & Technology,1,2008_P_42,,2008_P_42,auto,,,0.00,Consider the following statements in respect of probiotics : 1. Probiotics are made of both bacteria and yeast. 2. The organisms in probiotics are fou
2022_P_39,2022,Science & Technology,3,2010_P_20,,2010_P_20,auto,,,0.00,"In the context of vaccines manufactured to prevent COVID-19 pandemic, consider the following statements : 1. The Serum Institute of India produced COV"
2022_P_4,2022,Polity,1,2020_P_65,1,2020_P_65,expert,pattern,weak-association,5.40,"With reference to the ""G20 Common Framework"", consider the following statements: 1. It is an initiative endorsed by the G20 together with the Paris Cl"
2022_P_40,2022,Science & Technology,3,2011_P_75,,2011_P_75,auto,,,0.00,"If a major solar storm (solar flare) reaches the Earth, which of the following are the possible effects on the Earth? 1. GPS and navigation systems co"
2022_P_41,2022,Geography,2,2014_P_6,1,2014_P_6,expert,pattern,weak-association,1.00,"""Climate Action Tracker"" which monitors the emission reduction pledges of different countries is a :"
2022_P_42,2022,Geography,1,2021_P_24,1,2021_P_24,expert,pattern,weak-association,5.40,"Consider the following statements : 1. ""The Climate Group"" is an international non-profit organization that drives climate action by building large ne"
2022_P_43,2022,Geography,0,,,,auto,,,0.00,"""If rainforests and tropical forests are the lungs of the Earth, then surely wetlands function as its kidneys."" Which one of the following functions o"
2022_P_44,2022,Environment,3,2013_P_27,2,2013_P_27,expert,elimination,mechanism-transfer,7.05,"In the context of WHO Air Quality Guidelines, consider the following statements: 1. The 24-hour mean of PM2.5 should not exceed 15 µg/m³ and annual me"
2022_P_45,2022,Geography,1,2019_P_33,,2019_P_33,auto,,,0.00,"With reference to ""Gucchi"" sometimes mentioned in the news, consider the following statements: 1. It is a fungus. 2. It grows in some Himalayan forest"
2022_P_46,2022,Science & Technology,3,2019_P_32,,2019_P_32,auto,,,0.00,"With reference to polyethylene terephthalate, the use of which is so widespread in our daily lives, consider the following statements : 1. Its fibres "
2022_P_47,2022,Geography,0,,,,auto,,,0.00,Which of the following is not a bird ?
2022_P_48,2022,Geography,0,,,,auto,,,0.00,Which of the following are nitrogen-fixing plants? 1. Alfalfa 2. Amaranth 3. Chickpea 4. Clover 5. Purslane (Kulfa) 6. Spinach Select the correct answ
2022_P_49,2022,Environment,0,,,,auto,,,0.00,"""Biorock technology"" is talked about in which one of the following situations?"
2022_P_5,2022,Economy,3,2021_P_6,,2021_P_6,auto,,,0.00,"With reference to the Indian economy, what are the advantages of ""Inflation-Indexed Bonds (IIBs)""? 1. Government can reduce the coupon rates on its bo"
2022_P_50,2022,Geography,2,2004_P_47,1,2004_P_47,expert,pattern,weak-association,1.00,"The ""Miyawaki method"" is well known for the:"
2022_P_51,2022,History,3,2016_P_64,2,2016_P_64,expert,elimination,angle-shift,7.05,"In the Government of India Act 1919, the functions of Provincial Government were divided into ""Reserved"" and ""Transferred"" subjects. Which of the foll"
2022_P_52,2022,History,0,,0,,expert,none,spurious,3.86,"In medieval India, the term ""Fanam"" referred to:"
2022_P_53,2022,History,3,2003_P_81,,2003_P_81,auto,,,0.00,Consider the following freedom fighters : 1. Barindra Kumar Ghosh 2. Jogesh Chandra Chatterjee 3. Rash Behari Bose Who of the above was/were actively 
2022_P_54,2022,History,3,2013_P_37,,2013_P_37,auto,,,0.00,"With reference to the proposals of Cripps Mission, consider the following statements: 1. The Constituent Assembly would have members nominated by the "
2022_P_55,2022,History,0,,,,auto,,,0.00,"With reference to Indian history, consider the following texts : 1. Nettipakarana 2. Parishishtaparvan 3. Avadanashataka 4. Trishashtilakshana Mahapur"
2022_P_56,2022,History,3,2014_P_89,,2014_P_89,auto,,,0.00,"With reference to Indian history, consider the following pairs: Historical person Known as 1. Aryadeva - Jaina scholar 2. Dignaga - Buddhist scholar 3"
2022_P_57,2022,History,3,2006_P_20,,2006_P_20,auto,,,0.00,"With reference to Indian history, consider the following statements: 1. The first Mongol invasion of India happened during the reign of Jalal-ud-din K"
2022_P_58,2022,History,0,,1,2019_P_12,expert,pattern,expert-verified-weak,3.86,"With reference to Indian history, who of the following were known as ""Kulah-Daran""?"
2022_P_59,2022,History,3,2021_P_38,,2021_P_38,auto,,,0.00,"With reference to Indian history, consider the following statements: 1. The Dutch established their factories/warehouses on the east coast on lands gr"
2022_P_6,2022,Economy,1,2017_P_81,,2017_P_81,auto,,,0.00,"With reference to foreign-owned e-commerce firms operating in India, which of the following statements is/are correct? 1. They can sell their own good"
2022_P_60,2022,History,3,2011_P_65,,2011_P_65,auto,,,0.00,"According to Kautilya's Arthashastra, which of the following are correct? 1. A person could be a slave as a result of a judicial punishment. 2. If a f"
2022_P_61,2022,Economy,3,2002_P_69,3,2002_P_69,auto,elimination,mechanism-transfer,7.05,Consider the following statements: 1. Tight monetary policy of US Federal Reserve could lead to capital flight. 2. Capital flight may increase the int
2022_P_62,2022,Geography,3,2008_P_68,,2008_P_68,auto,,,0.00,Consider the following States: 1. Andhra Pradesh 2. Kerala 3. Himachal Pradesh 4. Tripura How many of the above are generally known as tea-producing S
2022_P_63,2022,Economy,3,2019_P_87,,2019_P_87,auto,,,0.00,"Consider the following statements : 1. In India, credit rating agencies are regulated by Reserve Bank of India. 2. The rating agency popularly known a"
2022_P_64,2022,Economy,3,2019_P_73,4,2019_P_73,expert,answerability,entity-bridge,7.05,"With reference to the 'Banks Board Bureau (BBB)', which of the following statements are correct? 1. The Governor of RBI is the Chairman of BBB. 2. BBB"
2022_P_65,2022,Economy,3,2021_P_6,2,2021_P_6,expert,conceptual,entity-bridge,7.05,"With reference to Convertible Bonds, consider the following statements: 1. As there is an option to exchange the bond for equity, Convertible Bonds pa"
2022_P_66,2022,Polity,4,2007_P_28,3,2007_P_28,expert,conceptual,entity-bridge,1.00,Consider the following: 1. Asian Infrastructure Investment Bank 2. Missile Technology Control Regime 3. Shanghai Cooperation Organisation India is a m
2022_P_67,2022,Economy,3,2019_P_82,,2019_P_82,auto,,,0.00,Consider the following statements : 1. Vietnam has been one of the fastest growing economies in the world in the recent years. 2. Vietnam is led by a 
2022_P_68,2022,Economy,1,2020_P_67,,2020_P_67,expert,,,0.00,"In India, which one of the following is responsible for maintaining price stability by controlling inflation?"
2022_P_69,2022,Science & Technology,3,2018_P_64,,2018_P_64,auto,,,0.00,"With reference to Non-Fungible Tokens (NFTs), consider the following statements : 1. They enable the digital representation of physical assets. 2. The"
2022_P_7,2022,Economy,3,2011_P_91,,2011_P_91,auto,,,0.00,Which of the following activities constitute real sector in the economy? 1. Farmers harvesting their crops 2. Textile mills converting raw cotton into
2022_P_70,2022,Geography,3,2005_P_25,,2005_P_25,auto,,,0.00,Consider the following pairs: Reservoirs States 1. Ghataprabha - Telangana 2. Gandhi Sagar - Madhya Pradesh 3. Indira Sagar - Andhra Pradesh 4. Maitho
2022_P_71,2022,Economy,0,,2,2015_P_29,expert,conceptual,expert-verified-weak,3.86,"In India, which one of the following compiles information on industrial disputes, closures, retrenchments and lay-offs in factories employing workers "
2022_P_72,2022,Economy,3,2004_P_54,,2004_P_54,auto,,,0.00,"In India, what is the role of the Coal Controller's Organization (CCO)? 1. CCO is the major source of Coal Statistics in Government of India. 2. It mo"
2022_P_73,2022,Polity,3,2015_P_59,,2015_P_59,auto,,,0.00,"If a particular area is brought under the Fifth Schedule of the Constitution of India, which one of the following statements best reflects the consequ"
2022_P_74,2022,Polity,3,2021_P_14,1,2021_P_14,expert,pattern,weak-association,7.05,Consider the following statements : 1. The India Sanitation Coalition is a platform to promote sustainable sanitation and is funded by the Government 
2022_P_75,2022,Environment,3,2014_P_96,3,2014_P_96,auto,conceptual,entity-bridge,7.05,"Which one of the following has been constituted under the Environment (Protection) Act, 1986?"
2022_P_76,2022,Polity,1,2010_P_45,,2010_P_45,auto,,,0.00,"With reference to the ""United Nations Credentials Committee"", consider the following statements : 1. It is a committee set up by the UN Security Counc"
2022_P_77,2022,Polity,0,,,,auto,,,0.00,Which one of the following statements best describes the 'Polar Code'?
2022_P_78,2022,Polity,1,2010_P_45,,2010_P_45,auto,,,0.00,"With reference to the United Nations General Assembly, consider the following statements: 1. The UN General Assembly can grant observer status to the "
2022_P_79,2022,Economy,2,2002_P_28,0,,expert,none,spurious,1.00,"With reference to the ""Tea Board"" in India, consider the following statements : 1. The Tea Board is a statutory body. 2. It is a regulatory body attac"
2022_P_8,2022,Economy,0,,,,auto,,,0.00,"Which one of the following situations best reflects ""Indirect Transfers"" often talked about in media recently with reference to India?"
2022_P_80,2022,Geography,1,2020_P_85,,2020_P_85,auto,,,0.00,"Which one of the following best describes the term ""greenwashing""?"
2022_P_81,2022,Geography,1,2013_P_12,0,,expert,none,spurious,5.40,Consider the following statements: 1. High clouds primarily reflect solar radiation and cool the surface of the Earth. 2. Low clouds have a high absor
2022_P_82,2022,Geography,3,2009_P_35,,2009_P_35,auto,,,0.00,Consider the following statements: 1. Bidibidi is a large refugee settlement in north-western Kenya. 2. Some people who fled from South Sudan civil wa
2022_P_83,2022,Polity,1,2006_P_43,1,2006_P_43,expert,pattern,weak-association,5.40,Consider the following countries: 1. Armenia 2. Azerbaijan 3. Croatia 4. Romania 5. Uzbekistan Which of the above are members of the Organization of T
2022_P_84,2022,Environment,3,2016_P_81,,2016_P_81,auto,,,0.00,Consider the following statements: 1. Gujarat has the largest solar park in India. 2. Kerala has a fully solar powered International Airport. 3. Goa h
2022_P_85,2022,Polity,1,2019_P_54,1,2019_P_54,expert,pattern,weak-association,5.40,"With reference to the United Nations Convention on the Law of Sea, consider the following statements : 1. A coastal state has the right to establish t"
2022_P_86,2022,Geography,3,2018_P_34,,2018_P_34,auto,,,0.00,"Which one of the following statements best reflects the issue with Senkaku Islands, sometimes mentioned in the news?"
2022_P_87,2022,Polity,3,2015_P_4,,2015_P_4,auto,,,0.00,Consider the following pairs: Country Important reason for being in the news recently 1. Chad - Setting up of permanent military base by China 2. Guin
2022_P_88,2022,Geography,1,2018_P_90,,2018_P_90,expert,,,0.00,Consider the following pairs: Region often mentioned in news Country 1. Anatolia - Turkey 2. Amhara - Ethiopia 3. Cabo Delgado - Spain 4. Catalonia - 
2022_P_89,2022,Polity,1,2017_P_91,,2017_P_91,auto,,,0.00,"With reference to Indian laws about wildlife protection, consider the following statements : 1. Wild animals are the sole property of the government. "
2022_P_9,2022,Economy,3,2016_P_3,,2016_P_3,auto,,,0.00,"With reference to the expenditure made by an organisation or a company, which of the following statements is/are correct? 1. Acquiring new technology "
2022_P_90,2022,Geography,1,2021_P_30,,2021_P_30,auto,,,0.00,Certain species of which one of the following organisms are well known as cultivators of fungi?
2022_P_91,2022,History,3,2016_P_39,,2016_P_39,auto,,,0.00,Consider the following pairs: Site of Ashoka's major rock edicts Location in the State of 1. Dhauli - Odisha 2. Erragudi - Andhra Pradesh 3. Jaugada -
2022_P_92,2022,History,3,2020_P_24,,2020_P_24,auto,,,0.00,Consider the following pairs: King Dynasty 1. Nannuka - Chandela 2. Jayashakti - Paramara 3. Nagabhata II - Gurjara-Pratihara 4. Bhoja - Rashtrakuta H
2022_P_93,2022,History,2,2003_P_42,1,2003_P_42,expert,pattern,weak-association,1.00,Which one of the following statements about Sangam literature in ancient South India is correct?
2022_P_94,2022,History,3,2009_P_3,,2009_P_3,auto,,,0.00,"""Yogavāsistha"" was translated into Persian by Nizamuddin Panipati during the reign of:"
2022_P_95,2022,Art & Culture,3,2012_P_69,,2012_P_69,auto,,,0.00,The world's second tallest statue in sitting pose of Ramanuja was inaugurated by the Prime Minister of India at Hyderabad recently. Which one of the f
2022_P_96,2022,Art & Culture,3,2009_P_45,0,,expert,none,spurious,7.05,The Prime Minister recently inaugurated the new Circuit House near Somnath Temple at Veraval. Which of the following statements are correct regarding 
2022_P_97,2022,Science & Technology,0,,,,auto,,,0.00,Which one of the following statements best describes the role of B cells and T cells in the human body?
2022_P_98,2022,Science & Technology,1,2020_P_41,,2020_P_41,auto,,,0.00,"Consider the following statements: 1. Other than those made by humans, nanoparticles do not exist in nature. 2. Nanoparticles of some metallic oxides "
2022_P_99,2022,Science & Technology,3,2013_P_5,,2013_P_5,auto,,,0.00,DNA Barcoding can be a tool to: 1. assess the age of a plant or animal. 2. distinguish among species that look alike. 3. identify undesirable animal o
2023_P_1,2023,Geography,3,2014_P_46,,2014_P_46,auto,,,0.00,Consider the following statements: 1. Jhelum River passes through Wular Lake. 2. Krishna River directly feeds Kolleru Lake. 3. Meandering of Gandak Ri
2023_P_10,2023,Geography,1,2006_P_90,,2006_P_90,auto,,,0.00,"With reference to India's projects on connectivity, consider the following statements: 1. East-West Corridor under Golden Quadrilateral Project connec"
2023_P_100,2023,Polity,1,2017_P_56,,2017_P_56,auto,,,0.00,Consider the following statements about G-20: 1. The G-20 group was originally established as a platform for the Finance Ministers and Central Bank Go
2023_P_11,2023,Science & Technology,3,2006_P_100,,2006_P_100,auto,,,0.00,"Consider the following statements: Statement-I: India, despite having uranium deposits, depends on coal for most of its electricity production. Statem"
2023_P_12,2023,Geography,0,,,,auto,,,0.00,Consider the following statements: Statement-I: Marsupials are not naturally found in India. Statement-II: Marsupials can thrive only in montane grass
2023_P_13,2023,Geography,0,,,,auto,,,0.00,'Invasive Species Specialist Group' (that develops Global Invasive Species Database) belongs to which one of the following organizations?
2023_P_14,2023,Environment,3,2013_P_32,,2013_P_32,auto,,,0.00,Consider the following fauna: 1. Lion-tailed Macaque 2. Malabar Civet 3. Sambar Deer How many of the above are generally nocturnal or most active afte
2023_P_15,2023,Geography,0,,,,auto,,,0.00,Which of the following organisms perform waggle dance for others of their kin to indicate the direction and the distance to a source of their food?
2023_P_16,2023,Science & Technology,0,,,,auto,,,0.00,Consider the following statements: 1. Some mushrooms have medicinal properties. 2. Some mushrooms have psycho-active properties. 3. Some mushrooms hav
2023_P_17,2023,Geography,1,2020_P_89,,2020_P_89,auto,,,0.00,Consider the following statements regarding the Indian squirrels: 1. They build nests by making burrows in the ground. 2. They store their food materi
2023_P_18,2023,Science & Technology,0,,,,auto,,,0.00,Consider the following statements: 1. Some microorganisms can grow in environments with temperature above the boiling point of water. 2. Some microorg
2023_P_19,2023,Environment,0,,,,auto,,,0.00,Which one of the following makes a tool with a stick to scrape insects from a hole in a tree or a log of wood?
2023_P_2,2023,Geography,3,2005_P_74,,2005_P_74,auto,,,0.00,Consider the following pairs: Port Well known as 1. Kamarajar Port: First major port in India registered as a company 2. Mundra Port: Largest privatel
2023_P_20,2023,Science & Technology,0,,2,2015_P_40,expert,conceptual,expert-verified-weak,3.86,Consider the following: 1. Aerosols 2. Foam agents 3. Fire retardants 4. Lubricants In the making of how many of the above are hydrofluorocarbons used
2023_P_21,2023,Economy,3,2022_P_5,,2022_P_5,auto,,,0.00,Consider the following statements: Statement-I: Interest income from the deposits in Infrastructure Investment Trusts (InvITs) distributed to their in
2023_P_22,2023,Economy,1,2020_P_63,,2020_P_63,auto,,,0.00,"Consider the following statements: Statement-I: In the post-pandemic recent past, many Central Banks worldwide had carried out interest rate hikes. St"
2023_P_23,2023,Environment,3,2018_P_88,,2018_P_88,auto,,,0.00,Consider the following statements: Statement-I: Carbon markets are likely to be one of the most widespread tools in the fight against climate change. 
2023_P_24,2023,Economy,3,2010_P_80,3,2010_P_80,auto,conceptual,entity-bridge,7.05,Which one of the following activities of the Reserve Bank of India is considered to be part of 'sterilization'?
2023_P_25,2023,Economy,3,2021_P_13,,2021_P_13,auto,,,0.00,Consider the following markets: 1. Government Bond Market 2. Call Money Market 3. Treasury Bill Market 4. Stock Market How many of the above are inclu
2023_P_26,2023,Economy,3,2019_P_79,,2019_P_79,auto,,,0.00,Which one of the following best describes the concept of 'Small Farmer Large Field'?
